timestamp	accel_x	accel_y	accel_z	accel_mag
1235770636178	0.0	0.88532263	0.6401563	-8.714132
1235770640142	-2.1792557	16.807508	1.8523673	7.2424774
1235770640182	-3.214402	12.162971	2.3018389	2.982748
1235770640222	-2.9419951	10.8281765	2.4108016	1.6701393
1235770640262	-2.2882185	10.7192135	1.7434045	1.2918606
1235770640302	-1.4028958	9.765789	0.95342433	0.10535145
1235770640342	-1.2394516	9.370799	1.1849703	-0.2802515
1235770640382	-1.2394516	9.261836	0.6810174	-0.4374647
1235770640421	-1.5118586	9.2073555	0.44947147	-0.46517563
1235770640462	-2.1792557	9.479762	1.1849703	-0.0077114105
1235770640502	-2.0158114	9.479762	0.44947147	-0.10451603
1235770640542	-2.070293	9.370799	0.3405087	-0.20384216
1235770640582	-2.2882185	9.425281	0.44947147	-0.0971756
1235770640622	-2.1792557	9.602345	0.44947147	0.050135612
1235770640662	-1.7978859	9.711308	0.55843425	0.08545494
1235770640702	-2.0158114	9.547864	1.1304889	0.016954422
1235770640742	-1.0760075	8.539958	1.3484144	-1.0941935
1235770640782	-1.7434045	9.479762	1.5118586	-0.05005932
1235770640822	-2.1247742	9.765789	1.6344417	0.3203783
1235770640862	-1.4028958	10.160779	1.293933	0.53181267
1235770640903	-2.233737	11.100583	0.7899802	1.5439711
1235770640942	-1.6889231	10.160779	0.7899802	0.52378845
1235770640982	-2.070293	9.711308	0.2860273	0.12700081
1235770641023	-2.8330324	9.929234	-0.23154591	0.52143574
1235770641062	-3.2688835	9.820271	0.3405087	0.54898834
1235770641102	-3.3778462	10.160779	0.0	0.9008837
1235770641143	-3.214402	10.106298	0.61291564	0.8162174
1235770641182	-3.1599207	9.874752	1.2394516	0.6351919
1235770641223	-3.1054392	9.479762	1.4573772	0.27469826
1235770641262	-3.7047346	9.2073555	1.5118586	0.23258114
1235770641302	-3.5412905	9.316318	1.8523673	0.33069515
1235770641342	-2.8875136	8.253931	1.9068487	-0.8567238
1235770641383	-2.3971813	9.711308	1.1849703	0.26609135
1235770641423	-1.9068487	8.757884	2.0294318	-0.6166992
1235770641463	-1.0215261	8.308413	1.6889231	-1.2669954
1235770641502	-0.58567494	7.246025	-0.23154591	-2.533308
1235770641543	-1.5118586	7.981524	0.3405087	-1.6760674
1235770641582	-0.040861044	8.539958	-0.7354988	-1.2349806
1235770641622	-0.14982383	8.921328	-0.84446156	-0.8441925
1235770641662	-0.20430522	10.106298	0.7354988	0.3284359
1235770641904	0.17706452	7.981524	1.5118586	-1.6812706
1235770641942	-2.1792557	8.036005	0.6810174	-1.45259
1235770641983	-3.050958	9.316318	0.55843425	0.012411118
1235770642022	-3.050958	10.7192135	0.05448139	1.3384314
1235770642063	-3.0373375	10.119919	0.40861043	0.76714516
1235770642102	-1.0623871	9.997335	0.35412905	0.25321007
1235770642143	-1.0760075	9.493382	0.3405087	-0.24641705
1235770642182	-1.3484144	9.057531	1.0623871	-0.5878782
1235770642223	-2.0158114	8.934948	0.0	-0.64713097
1235770642262	-1.56634	9.997335	0.23154591	0.31529427
1235770642303	-1.2394516	9.724928	0.05448139	-0.0029039383
1235770642342	-1.4028958	10.174399	-1.0623871	0.51881313
1235770642382	-0.47671217	11.114203	-0.84446156	1.3497782
1235770642422	-0.14982383	10.732834	-1.5118586	1.0331783
1235770642463	-0.3677494	11.672638	-1.7978859	2.0093603
1235770642502	0.17706452	10.787315	-0.6810174	1.0035906
1235770642542	0.4903325	10.678352	-0.12258313	0.8836565
1235770642583	-0.21792556	10.283362	0.88532263	0.51705265
1235770642623	0.6537767	9.220976	1.0487667	-0.5032244
1235770642662	1.0351465	9.779409	0.095342435	0.027853012
1235770642702	1.4165162	9.561484	-0.35412905	-0.13432312
1235770642742	1.7025435	9.493382	-0.7491191	-0.13276005
1235770642783	1.5799603	9.833891	-0.8036005	0.18572044
