timestamp	accel_x	accel_y	accel_z	accel_mag
1236011795113	1.7434045	-3.1054392	-8.512717	-0.5789976
1236011795151	2.6151068	-0.013620348	-10.065437	0.5929651
1236011795192	1.0896279	-3.5549107	-8.730643	-0.31724548
1236011795231	1.5799603	-2.7240696	-8.730643	-0.5254345
1236011795271	1.525479	-2.5606253	-8.730643	-0.58124924
1236011795311	1.253072	-3.6638734	-7.954283	-0.9599123
1236011795351	1.6344417	-3.5549107	-7.84532	-1.0397902
1236011795391	1.525479	-2.9419951	-8.403754	-0.7730732
1236011795433	2.0158114	-3.2280223	-9.180115	0.13106251
1236011795471	1.0896279	-3.050958	-9.79303	0.50834274
1236011795511	-0.20430522	-2.9964764	-10.909899	1.5091133
1236011795551	-0.040861044	-2.7240696	-11.018862	1.5440121
1236011795595	-0.3677494	-1.7297841	-10.010956	0.35930443
1236011795632	0.980665	-0.23154591	-9.520623	-0.23285294
1236011795675	1.96133	0.980665	-8.567199	-0.9632673
1236011795712	1.6889231	1.4301366	-8.349273	-1.1690512
1236011795753	1.1985906	1.5390993	-9.125633	-0.47484303
1236011795794	0.23154591	1.1441092	-9.343558	-0.3904581
1236011795833	-0.14982383	0.42223078	-9.343558	-0.45235634
1236011795873	-0.42223078	-0.3405087	-9.180115	-0.6105242
1236011795917	-0.8036005	-1.2803127	-8.676162	-0.9997921
1236011795952	-1.0623871	-2.5606253	-8.730643	-0.6464319
1236011795992	-1.4437568	-3.5549107	-8.853226	-0.15774155
1236011796033	-1.9340894	-4.4947147	-9.343558	0.7406359
1236011796072	-2.315459	-5.271075	-10.010956	1.7417183
1236011796113	-2.2064962	-5.3800373	-10.732834	2.400199
1236011796176	-2.152015	-5.1076303	-11.018862	2.527626
1236011796214	-1.4437568	-4.5491962	-10.514909	1.7407703
1236011796253	-0.6401563	-3.990762	-9.847511	0.8380413
1236011796293	-0.313268	-3.6638734	-8.962189	-0.1193943
1236011796333	0.23154591	-3.6638734	-8.512717	-0.5360546
1236011796373	0.2860273	-3.6093922	-8.458236	-0.60603714
1236011796412	0.12258313	-3.6093922	-8.512717	-0.55953693
1236011796453	0.06810174	-4.767122	-9.071152	0.44107533
1236011796492	0.013620348	-5.1621118	-8.567199	0.1955738
1236011796533	-0.53119355	-5.434519	-8.349273	0.16964817
1236011796572	-0.42223078	-5.6524444	-8.117727	0.094153404
1236011796612	0.2860273	-4.9986677	-7.0689607	-1.1441622
1236011796653	0.12258313	-5.4890003	-6.9599977	-0.94179153
1236011796693	0.8308412	-5.3800373	-6.619489	-1.2361927
1236011796741	0.3405087	-6.374323	-6.5650077	-0.64983463
1236011796793	-0.42223078	-9.479762	-5.339176	1.081461
1236011796835	-1.2803127	-9.139254	-6.238119	1.3324375
1236011796872	-2.0975335	-9.970095	-6.4015636	2.2259073
1236011796912	-2.6968288	-9.752169	-5.339176	1.6338253
1236011796952	-3.9362805	-7.096201	-7.3958488	1.1728287
1236011796992	-3.2280223	-7.1506824	-4.399372	-0.81182575
1236011797032	-2.9147544	-7.1506824	-3.9499009	-1.1331406
1236011797072	-2.4789033	-6.8237944	-3.2280223	-1.8612576
1236011797111	-1.5527196	-6.8237944	-1.5527196	-2.6382442
1236011797152	-1.9340894	-7.477571	-2.0566726	-1.8138614
1236011797191	-2.2064962	-8.144968	-1.2803127	-1.2715263
1236011797232	-2.2609777	-8.975809	-0.667397	-0.5264244
1236011797273	-2.4789033	-9.425281	-0.939804	-0.015628815
1236011797313	-2.152015	-9.030291	-2.2201166	-0.2616911
1236011797354	-2.6423476	-9.248216	-2.1111538	0.0406065
1236011797397	-3.2280223	-9.302697	-4.0588636	0.84392166
1236011797433	-3.718355	-9.357179	-2.8875136	0.66811466
1236011797472	-4.5900574	-9.80665	-0.8308412	1.0528765
1236011797513	-4.1542063	-9.861132	0.10896278	0.89434147
1236011797555	-4.099725	-10.024576	1.3892754	1.1125965
1236011797593	-3.8273177	-10.079058	0.55843425	0.98907185
1236011797632	-3.990762	-10.133538	-0.55843425	1.0986986
1236011797673	-4.426613	-10.079058	-1.0079057	1.2476788
1236011797712	-3.6093922	-9.970095	-1.0079057	0.844471
1236011797756	-4.426613	-10.474048	-0.55843425	1.5780945
1236011797792	-3.336985	-10.079058	-0.7218784	0.8349657
