timestamp	accel_x	accel_y	accel_z	accel_mag
1237386076355	1.6889231	-3.1463003	-9.534244	0.37438488
1237386076392	1.4709976	-3.800077	-9.084772	0.15013123
1237386076434	1.9068487	-3.5821514	-9.084772	0.1432724
1237386076472	1.6344417	-3.5821514	-8.921328	-0.055070877
1237386076512	1.6344417	-3.9090397	-8.7034025	-0.12671185
1237386076552	1.6889231	-3.9090397	-8.648921	-0.16627216
1237386076592	1.5799603	-3.9635212	-8.5944395	-0.21133041
1237386076632	1.5799603	-3.9635212	-8.757884	-0.06466389
1237386076672	1.6889231	-3.9635212	-8.812365	0.0025148392
1237386076713	1.8523673	-4.1814466	-8.7034025	0.025184631
1237386076753	2.070293	-4.399372	-8.430995	-0.074113846
1237386076793	2.6014864	-4.5628166	-7.8180795	-0.38808346
1237386076833	2.9283748	-4.671779	-7.43671	-0.54892063
1237386076873	3.3506055	-5.066769	-7.43671	-0.20439243
1237386076913	3.8954194	-5.6660647	-7.600154	0.44229698
1237386076953	3.9499009	-6.2108784	-7.763598	0.891489
1237386076993	3.9499009	-6.537767	-7.3822284	0.8160343
1237386077033	3.7319753	-6.6467295	-6.4424243	0.17390537
1237386077073	3.6230125	-6.374323	-5.611583	-0.5736618
1237386077113	3.6230125	-6.101916	-5.175732	-1.0232687
1237386077153	3.6774938	-6.101916	-5.5026207	-0.80464077
1237386077193	3.7319753	-6.1563973	-6.115536	-0.3605585
1237386077233	3.405087	-6.3198414	-6.66035	-0.014037132
1237386077273	3.0373375	-6.6467295	-7.1098213	0.38913345
1237386077313	2.982856	-7.04172	-6.8237944	0.44261456
1237386077353	3.091819	-7.3141265	-6.2789803	0.31665897
1237386077393	3.7319753	-7.477571	-5.7750273	0.3517275
1237386077433	4.807983	-7.641015	-5.6660647	0.85196686
1237386077473	5.611583	-7.804459	-6.0610547	1.5571451
1237386077513	6.197258	-7.5865335	-5.012288	1.1971912
1237386077553	5.9248514	-7.5865335	-5.611583	1.335577
1237386077593	5.012288	-7.913422	-5.6660647	1.140933
1237386077633	3.5140498	-7.368608	-5.066769	-0.19847298
1237386077673	1.6344417	-6.7556925	-6.5513873	-0.25513363
1237386077713	0.9942854	-5.6660647	-7.763598	-0.1440239
1237386077753	0.13620348	-5.066769	-7.9270425	-0.39768124
1237386077793	0.55843425	-5.611583	-8.866846	0.7015686
1237386077833	0.7763598	-5.7750273	-9.139254	1.0321522
1237386077873	2.6014864	-6.2108784	-7.04172	-0.063521385
1237386077913	3.3642259	-6.3607025	-7.0689607	0.28030968
1237386077953	3.6911142	-5.597963	-7.0689607	-0.06335926
1237386077994	4.7126403	-6.742072	-7.7908387	1.5230312
1237386078038	3.2007818	-7.3549876	-8.785124	2.0895367
1237386078075	2.3426998	-6.0882955	-8.62168	1.0048695
1237386078113	1.5935807	-6.2517395	-8.458236	0.8312769
1237386078154	1.334794	-4.944186	-7.572913	-0.6646776
1237386078193	0.84446156	-4.4947147	-7.518432	-1.0065136
1237386078233	0.89894295	-5.9793324	-7.6273947	-0.073322296
1237386078273	1.334794	-5.4890003	-8.008764	-0.0060834885
1237386078313	0.88532263	-6.4151835	-8.512717	0.88936424
1237386078355	0.667397	-6.197258	-8.730643	0.9206772
1237386078394	1.6889231	-6.4151835	-8.839605	1.2453032
1237386078433	0.9942854	-6.7965536	-8.172209	0.8688698
1237386078473	0.44947147	-5.325556	-9.942854	1.4815702
1237386078513	-0.24516626	-5.2165933	-9.39804	0.9449129
1237386078553	-0.939804	-3.4595683	-10.106298	0.9166479
1237386078592	-0.44947147	-3.4595683	-10.8281765	1.569643
1237386078633	0.24516626	-3.7319753	-8.567199	-0.45867443
1237386078673	1.4165162	-4.276789	-8.839605	0.114845276
1237386078713	1.6208214	-5.271075	-8.240311	0.10869217
1237386078753	0.3949901	-3.840938	-7.409469	-1.4514685
1237386078793	0.2860273	-3.9635212	-7.8998017	-0.96367645
1237386078833	-0.14982383	-3.255263	-7.7908387	-1.3617487
1237386078873	-0.84446156	-2.6423476	-7.681876	-1.6392555
1237386078913	0.81722087	-3.0373375	-9.112013	-0.16704178
1237386078953	0.54481393	-3.2007818	-8.730643	-0.49182606
1237386078993	0.12258313	-4.235928	-8.730643	-0.101896286
1237386079033	-0.38136974	-4.344891	-8.839605	0.05043602
1237386079073	-0.9670447	-5.829509	-7.681876	-0.11492348
1237386079113	-1.293933	-6.428804	-7.1915436	-0.07412338
