timestamp	accel_x	accel_y	accel_z	accel_mag
1235772659556	0.14982383	-0.040861044	0.013620348	-9.650758
1235772661534	8.866846	-3.1599207	-2.6287272	-0.033408165
1235772661575	8.5944395	-2.819412	-1.96133	-0.55136585
1235772661614	8.158588	-2.547005	-1.6753027	-1.0970898
1235772661655	8.21307	-2.383561	-1.2803127	-1.1593914
1235772661695	8.7034025	-2.2064962	-1.3484144	-0.7272196
1235772661735	9.466142	-2.0975335	-1.1713499	-0.04040432
1235772662615	-2.1792557	-1.1032481	-9.00305	-0.47813416
1235772662654	-2.1792557	-1.0487667	-9.125633	-0.36598015
1235772662694	-1.8523673	-0.87170225	-9.125633	-0.45420074
1235772662735	-2.4516625	-0.38136974	-8.839605	-0.6254349
1235772662775	-3.486809	-0.43585113	-9.234595	0.07391453
1235772662855	-3.7047346	-0.20430522	-8.785124	-0.2701311
1235772662895	-3.2688835	-0.5992953	-8.839605	-0.3629551
1235772662935	-3.050958	-0.7082581	-8.567199	-0.68486977
1235772663334	5.8158884	-1.0487667	-8.567199	0.60110474
1235772663455	6.197258	-1.2666923	-7.668256	0.13380527
1235772663535	5.761407	-0.7627395	-8.730643	0.68142414
1235772664234	-3.5957718	-0.54481393	-9.452521	0.32135773
1235772664275	-3.6502533	-0.7627395	-9.39804	0.30419922
1235772664314	-3.050958	-0.54481393	-8.499097	-0.7601137
1235772664355	-2.8875136	-0.7082581	-8.281172	-1.0079479
1235772666374	2.8875136	-3.9362805	-8.730643	0.19615746
1235772666415	4.0861044	-4.3312707	-8.390134	0.4817171
1235772666454	4.30403	-3.881799	-7.559293	-0.2811079
1235772666495	3.759216	-3.3233647	-7.7227373	-0.59702873
1235772666534	3.050958	-2.383561	-8.22669	-0.714448
1235772666575	1.3075534	-1.879608	-7.8317	-1.6471071
1235772666614	-0.27240697	-2.0430522	-9.234595	-0.34483147
1235772666654	-1.6889231	-2.0430522	-8.730643	-0.6824703
1235772666694	-1.96133	-2.0975335	-8.730643	-0.6158619
1235772666734	-2.8330324	-0.9942854	-7.8317	-1.4191475
1235772666774	-4.140586	-0.38136974	-6.496906	-2.0930467
1235772666815	-5.271075	-0.43585113	-6.7148314	-1.2589512
1235772666854	-7.1234417	0.35412905	-5.6524444	-0.70615864
1235772666895	-7.668256	-0.7627395	-6.7148314	0.41454697
1235772666934	-7.7227373	-1.0487667	-5.9248514	-0.016633034
1235772666975	-7.0689607	-1.3756552	-5.992953	-0.4376526
1235772667014	-6.9599977	-1.9340894	-5.597963	-0.66775227
1235772667055	-7.2324047	-2.547005	-3.7455957	-1.2729282
1235772667094	-7.7227373	-2.4925237	-3.4187074	-1.0009184
1235772667135	-7.940663	-4.7126403	-0.2860273	-0.5684185
1235772667174	-6.9599977	-5.611583	0.2860273	-0.86163807
1235772667215	-6.7965536	-5.7750273	-0.10896278	-0.88723564
1235772667255	-6.905516	-7.940663	1.0623871	0.7701616
1235772667294	-6.905516	-7.3822284	-0.667397	0.32394028
1235772667335	-7.4503303	-8.894087	0.61291564	1.8117781
1235772667375	-6.9599977	-8.825985	2.0158114	1.6127663
1235772667414	-4.8488436	-7.8861814	3.6911142	0.15966606
1235772667455	-3.9771416	-6.9463773	5.9248514	0.15194798
1235772667494	-3.1054392	-5.4890003	6.66035	-0.63423824
1235772667535	-2.506144	-4.7126403	8.117727	-0.09134102
1235772667575	-2.0158114	-3.9362805	8.785124	0.028805733
1235772667615	-0.32688835	-3.2688835	9.847511	0.57438755
1235772667655	0.43585113	-3.3778462	10.405946	1.1424828
1235772667695	1.4165162	-4.2086873	10.405946	1.5072031
1235772667735	1.525479	-4.7126403	10.133538	1.4727411
1235772667775	1.4165162	-5.6660647	9.575105	1.4091177
1235772667815	1.7434045	-6.3879433	9.180115	1.512351
1235772667855	2.3426998	-6.1563973	8.281172	0.7748089
1235772667894	2.7785509	-5.8839903	6.8237944	-0.3776598
1235772667935	3.2688835	-5.325556	5.87037	-1.2329473
1235772667975	4.0861044	-6.1563973	4.930566	-0.9236345
1235772668015	4.576437	-6.891896	5.09401	-0.091150284
1235772668055	5.325556	-7.559293	5.434519	0.9189472
1235772668095	5.325556	-7.2187843	5.1484914	0.53643227
1235772668135	4.3585114	-5.434519	4.535576	-1.493885
1235772668175	4.467474	-5.1621118	4.3585114	-1.7071228
1235772668215	3.9771416	-4.9986677	4.6445384	-1.9087977
1235772668255	4.0861044	-6.605869	5.039529	-0.54756737
1235772668294	4.467474	-8.049625	5.706926	1.0249605
1235772668335	3.5957718	-7.940663	5.202973	0.34493256
1235772668375	3.486809	-7.164303	3.0237172	-1.2844477
1235772668415	3.050958	-7.7772183	2.6287272	-1.0485859
1235772668455	3.4323275	-8.22669	2.070293	-0.65539837
1235772668495	3.5412905	-8.335652	1.9068487	-0.5513859
1235772668534	4.0861044	-10.392325	2.7921712	1.703906
1235772668575	4.467474	-9.112013	2.233737	0.58453274
1235772668614	4.140586	-8.444615	2.0158114	-0.18794632
1235772668655	4.5219555	-9.561484	2.3563201	1.0295076
1235772668694	2.9964764	-9.615966	2.3563201	0.5373297
1235772668735	1.7434045	-11.114203	2.233737	1.6630735
1235772668774	0.5992953	-12.054008	2.3563201	2.490118
1235772668815	-3.3233647	-12.721405	0.55843425	3.3535452
1235772668855	-3.1599207	-11.618156	-0.667397	2.2520418
1235772668895	-2.5606253	-10.392325	0.3405087	0.901906
1235772668935	-1.525479	-8.444615	0.7218784	-1.1950455
1235772668974	2.070293	-6.66035	1.3484144	-2.7028065
1235772669015	2.7240696	-7.995144	2.3563201	-1.0376635
1235772669054	2.9419951	-7.8317	0.61291564	-1.4181747
1235772669095	2.070293	-9.384419	0.16344418	-0.19519043
1235772669135	1.3620348	-9.888372	0.61291564	0.1938858
1235772669174	1.253072	-9.670447	0.55843425	-0.039378166
1235772669215	0.980665	-10.051817	1.0623871	0.34861374
1235772669254	1.8523673	-10.283362	1.0079057	0.6907158
1235772669295	1.9068487	-10.392325	0.667397	0.7802248
1235772669334	2.1247742	-9.670447	0.667397	0.116939545
1235772669375	2.5606253	-9.057531	0.89894295	-0.35129356
1235772669415	2.3971813	-9.112013	0.95342433	-0.3364725
1235772669455	2.669588	-9.438901	0.84446156	0.038788795
1235772669494	2.3971813	-9.561484	1.1168685	0.11382675
1235772669535	2.3426998	-9.997335	0.84446156	0.49616814
1235772669575	1.6889231	-9.561484	0.89894295	-0.0556221
1235772669615	1.0896279	-8.499097	1.2258313	-1.1507502
1235772669655	0.27240697	-9.384419	0.667397	-0.3945856
1235772669695	0.16344418	-9.724928	0.667397	-0.05747795
1235772669734	0.4903325	-10.228881	0.10896278	0.434556
1235772669774	0.87170225	-11.3321295	0.10896278	1.5594797
1235772669814	1.525479	-10.773695	0.05448139	1.0746441
1235772669855	0.6537767	-9.997335	0.89894295	0.25228786
1235772669894	2.5606253	-9.724928	0.3949901	0.25749588
1235772669935	-0.32688835	-13.838273	-6.769313	5.6020565
1235772669974	-1.0896279	-15.4046135	-7.7772183	7.48423
1235772670015	-1.1441092	-14.001718	-9.629586	7.2252617
1235772670055	1.6344417	-9.779409	-4.7535014	1.1889868
1235772670094	6.3607025	-5.4890003	3.7455957	-0.60789204
1235772670135	8.158588	-3.050958	4.930566	0.20241451
1235772670175	8.104107	-5.6660647	5.1484914	1.341794
1235772670215	3.2688835	-7.8861814	0.84446156	-1.2281561
1235772670255	1.0351465	-7.668256	-1.4028958	-1.9426947
1235772670295	-0.6537767	-9.057531	-1.7842655	-0.55192757
1235772670335	-0.81722087	-8.390134	-1.2258313	-1.2881489
1235772670374	-1.253072	-10.051817	-1.4573772	0.42727184
1235772670415	-1.3075534	-10.106298	-0.84446156	0.4188118
1235772670454	-1.1441092	-9.057531	-0.50395286	-0.6632471
1235772670495	-0.7627395	-8.825985	-0.61291564	-0.9265909
1235772670535	-0.92618364	-9.220976	-0.05448139	-0.5391159
1235772670575	-1.0896279	-9.724928	0.05448139	-0.02071762
1235772670614	-1.9068487	-10.501288	0.05448139	0.866498
1235772670655	-2.506144	-10.337844	0.44947147	0.84012413
1235772670707	-2.8875136	-9.833891	0.21792556	0.44472313
1235772670744	-3.1054392	-9.615966	0.10896278	0.29891396
1235772670784	-2.6151068	-9.220976	0.16344418	-0.22062397
1235772670824	-2.4516625	-9.384419	0.0	-0.10727024
1235772670863	-2.070293	-9.561484	-0.2860273	-0.019418716
1235772670904	-1.9068487	-9.329938	-0.3405087	-0.27775955
1235772670943	-1.6344417	-8.948568	-0.2860273	-0.7055464
1235772670984	-0.32688835	-8.948568	-0.55843425	-0.8347168
1235772671023	-0.43585113	-9.220976	-0.667397	-0.5512848
1235772671065	0.54481393	-9.561484	-1.0623871	-0.17091084
1235772671105	0.10896278	-9.507003	-0.667397	-0.27562714
1235772671145	-1.3075534	-9.384419	-0.2860273	-0.32726002
1235772671184	-0.43585113	-9.220976	0.3405087	-0.56910133
1235772671225	-1.3075534	-8.771504	0.7899802	-0.9031086
1235772671265	-0.32688835	-9.670447	0.667397	-0.10768986
1235772671305	-0.81722087	-10.501288	0.16344418	0.72765636
1235772671344	-1.8523673	-7.6137743	-0.50395286	-1.9545937
1235772671384	-1.0351465	-8.158588	-0.50395286	-1.5672293
1235772671425	-3.5957718	-11.999526	-0.61291564	2.735036
1235772671465	-0.87170225	-9.275456	-1.1168685	-0.4236145
1235772671505	0.10896278	-11.890564	0.84446156	2.1143608
1235772671544	-1.3620348	-11.727119	-0.50395286	2.0100508
1235772671585	1.1985906	-7.559293	-0.2860273	-2.1475816
1235772671625	-0.27240697	-9.888372	0.61291564	0.10444355
1235772671664	-1.0351465	-9.997335	-0.7218784	0.27002335
1235772671704	-0.4903325	-9.888372	0.89894295	0.13459873
1235772671744	-1.1985906	-9.779409	0.61291564	0.064982414
1235772671784	-1.253072	-9.670447	1.0623871	0.0023460388
1235772671824	-0.980665	-9.615966	1.1713499	-0.0700922
1235772671865	-0.5992953	-9.275456	0.7218784	-0.48386288
