6800	-8.855396	-6.0533137	-8.662504	-7.543064	-9.2423	-10.016663
7399	-18.329391	-15.957723	-16.54096	-14.024254	-17.996271	-17.67465
8190	-23.10728	-21.144001	-22.23274	-16.954306	-25.749817	-25.892946
8799	-22.67646	-22.548084	-25.382711	-21.196276	-27.949186	-25.653524
9400	-14.071822	-12.77342	-17.098969	-15.109949	-19.893171	-18.620874
9999	-20.796684	-18.729984	-18.567307	-17.970924	-22.791285	-21.975872
10600	-31.201313	-29.625025	-32.124752	-27.432318	-30.710764	-30.754227
11219	-35.44605	-39.919064	-36.755756	-34.410717	-37.481125	-36.308712
11820	-22.9082	-26.46509	-27.9109	-25.23346	-28.8093	-24.12202
12419	-30.138906	-29.499031	-33.71797	-29.51777	-32.549786	-30.868765
13110	-17.788717	-23.051178	-21.8688	-18.068415	-18.93555	-20.354063
13750	-7.205151	-7.6013017	-9.271833	-7.9915366	-10.574603	-7.307945
14355	-12.139055	-12.447725	-11.900519	-12.326661	-13.681715	-10.401974
15018	-14.658269	-12.941311	-16.454355	-15.583638	-15.158682	-14.391744
15620	-16.101618	-16.173819	-18.66503	-16.83602	-17.476673	-17.154657
18478	-9.616834	-10.221704	-10.977061	-8.822229	-11.084239	-11.661357
19239	-0.5869713	-2.785106	3.2677813	-0.20573568	-1.3978274	-1.4405295
20049	0.59265935	2.5728006	0.9804339	0.113378584	3.2000098	0.07873213
20859	5.0490084	5.9579983	5.6092176	4.3301964	5.8225894	3.9061265
21583	1.0581698	2.0315545	3.4361918	1.5692328	1.6873074	-1.0496466
24419	0.29660854	0.9467915	-0.11495732	-0.12778044	-1.867879	-2.3637934
25180	1.991016	0.7242398	1.2504971	0.94927657	-1.6184216	-0.8652242
27959	-2.5813026	-6.0679545	-4.4303713	-5.2329855	-7.5756817	-6.5055943
28570	-6.463508	-11.748336	-11.600045	-9.861246	-13.637056	-12.842834
29446	-9.751257	-12.536162	-12.445665	-11.179409	-17.748901	-17.350397
30389	-11.363496	-13.617339	-14.403701	-12.070357	-18.317558	-17.918531
33129	-5.585651	-8.144799	-8.433441	-5.998657	-12.700629	-12.280516
33729	-6.421223	-8.662154	-9.399985	-6.7383156	-12.180713	-10.118641
34340	-17.022522	-22.241943	-16.395744	-16.64139	-20.766687	-17.925882
34939	-21.590662	-33.645824	-19.205467	-23.536188	-33.771202	-21.04121
35539	-9.395269	-40.64185	-9.809515	-14.52798	-27.19105	-11.493916
36149	-11.667396	-30.931427	-12.59506	-15.54374	-22.88709	-13.831748
36750	-12.425571	-13.078496	-11.778976	-11.373436	-14.68753	-13.003652
37349	-7.9715853	-2.505522	-7.2745647	-2.2332227	-9.571171	-6.3566127
37950	-16.754715	-7.8617797	-16.760262	-11.0833025	-17.641216	-13.975077
